"","title","releaseYear","genre","sequel","hitFlop"
"418","Tom, Dick, and Harry",2006,"Comedy | Romance","0",4
"419","36 China Town",2006,"Comedy | Mystery | Thriller","0",5
"425","Pyaar Ke Side Effects",2006,"Comedy | Drama | Romance","0",3
"441","Corporate",2006,"Drama","0",4
"459","Apna Sapna Money Money",2006,"Comedy | Musical | Romance","0",5
"460","Vivah",2006,"Drama | Family | Musical","0",8
"462","Gangster",2006,"Crime | Drama | Mystery","0",5
"463","Golmaal: Fun Unlimited",2006,"Comedy","0",6
"474","Bhagam Bhag",2006,"Comedy | Mystery | Romance","0",6
"443","Welcome",2007,"Comedy | Crime | Drama","0",7
"467","Guru",2007,"Biography | Drama | Musical","0",6
"471","Namastey London",2007,"Comedy | Drama | Romance","0",5
"472","Life in a Metro",2007,"Comedy | Drama | Romance","0",5
"475","Heyy Babyy",2007,"Comedy | Drama","0",6
"476","Partner",2007,"Comedy | Romance","0",7
"477","Honeymoon Travels Pvt. Ltd.",2007,"Comedy | Drama | Romance","0",4
"479","Shootout at Lokhandwala",2007,"Action | Crime | Drama","0",5
"482","Apne",2007,"Drama | Sport","0",4
"487","Traffic Signal",2007,"Drama","0",4
"497","Jhoom Barabar Jhoom",2007,"Comedy | Drama | Musical","0",3
"501","Ta Ra Rum Pum",2007,"Comedy | Family | Romance","0",5
"504","Dhamaal",2007,"Comedy","0",5
"529","Cheeni Kum",2007,"Comedy | Romance","0",5
"534","Taare Zameen Par",2007,"Drama | Family","0",7
"539","Bhool Bhulaiyaa",2007,"Comedy | Horror | Mystery","0",6
"540","Dhol",2007,"Comedy","0",4
"546","Aap Kaa Surroor: The Moviee - The Real Luv Story",2007,"Drama | Romance | Thriller","0",4
"547","Bheja Fry",2007,"Comedy | Drama","0",6
"555","Om Shanti Om",2007,"Action | Comedy | Drama","0",8
"576","Jab We Met",2007,"Comedy | Romance","0",6
"355","Jodhaa Akbar",2008,"Action | Adventure | Biography","0",5
"406","Jaane Tu... Ya Jaane Na",2008,"Comedy | Drama | Romance","0",7
"452","Sarkar Raj",2008,"Action | Crime | Drama","1",3
"528","Fashion",2008,"Drama | Romance","0",4
"538","Bhoothnath",2008,"Comedy | Drama | Fantasy","0",4
"543","Tashan",2008,"Action | Comedy | Crime","0",3
"550","Race",2008,"Action | Crime | Drama","0",6
"575","Golmaal Returns",2008,"Comedy | Crime | Drama","1",6
"598","Singh Is Kinng",2008,"Action | Comedy | Crime","0",7
"601","Ghajini",2008,"Action | Drama | Mystery","0",8
"604","Mere Baap Pehle Aap",2008,"Comedy | Drama | Romance","0",3
"611","One Two Three",2008,"Action | Comedy | Drama","0",4
"615","Mithya",2008,"Comedy | Crime | Drama","0",3
"617","Krazzy 4",2008,"Action | Comedy | Crime","0",4
"618","Rab Ne Bana Di Jodi",2008,"Comedy | Drama | Musical","0",8
"619","Bachna Ae Haseeno",2008,"Comedy | Drama | Romance","0",5
"624","Dostana",2008,"Comedy | Drama | Romance","0",4
"644","Jannat: In Search of Heaven...",2008,"Crime | Drama | Romance","0",7
"650","Welcome to Sajjanpur",2008,"Comedy | Drama","0",4
"659","Rock On!!",2008,"Drama | Music","0",4
"686","Phoonk",2008,"Drama | Horror | Mystery","0",6
"691","A Wednesday",2008,"Drama | Thriller","0",6
"701","1920",2008,"Drama | Horror | Mystery","0",4
"571","Wanted",2009,"Action | Comedy | Crime","0",6
"597","Kambakkht Ishq",2009,"Action | Comedy | Romance","0",4
"626","3 Idiots",2009,"Comedy | Drama","0",9
"675","Ajab Prem Ki Ghazab Kahani",2009,"Comedy | Romance","0",7
"678","De Dana Dan",2009,"Comedy","0",4
"687","Kaminey: The Scoundrels",2009,"Action | Comedy | Crime","0",4
"707","Wake Up Sid",2009,"Comedy | Drama | Romance","0",5
"710","Dev D",2009,"Comedy | Drama | Romance","0",4
"712","New York",2009,"Crime | Drama | History","0",6
"718","Raaz: The Mystery Continues",2009,"Drama | Horror | Mystery","1",5
"726","99",2009,"Comedy | Crime | Drama","0",4
"752","All the Best: Fun Begins",2009,"Action | Comedy | Drama","0",4
"753","Rocket Singh: Salesman of the Year",2009,"Comedy | Drama","0",3
"783","Paa",2009,"Comedy | Drama","0",5
"623","Veer",2010,"Action | Adventure | Drama","0",3
"628","My Name Is Khan",2010,"Drama | Romance | Thriller","0",6
"698","Raajneeti",2010,"Action | Crime | Drama","0",7
"720","Ishqiya",2010,"Comedy | Drama | Romance","0",5
"740","Once Upon a Time in Mumbai",2010,"Crime | Drama | Romance","0",6
"759","Peepli (Live)",2010,"Comedy | Drama","0",6
"763","Khatta Meetha",2010,"Comedy | Crime | Drama","0",3
"773","Anjaana Anjaani",2010,"Comedy | Drama | Musical","0",4
"788","Golmaal 3",2010,"Action | Comedy","1",8
"793","Tees Maar Khan",2010,"Comedy | Crime | Drama","0",5
"794","Housefull",2010,"Comedy","0",6
"796","Atithi Tum Kab Jaoge?",2010,"Comedy | Drama","0",4
"804","Badmaa$h Company",2010,"Comedy | Crime | Drama","NULL",4
"809","Lafangey Parindey",2010,"Crime | Drama | Romance","0",3
"814","LSD: Love, Sex Aur Dhokha",2010,"Comedy | Crime | Drama","0",5
"816","Wedding Planners",2010,"Comedy | Drama | Romance","NULL",5
