"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"78","G.I. Joe: The Rise of Cobra",1,0,0,0,0,0,0,0,1,1,1
"79","Inside Out",0,1,0,1,1,1,0,0,0,1,0
"80","The Jungle Book",0,0,0,0,1,1,0,0,0,1,0
"81","Iron Man 2",1,0,0,0,0,0,0,0,0,1,1
"82","Snow White and the Huntsman",1,0,0,0,1,0,0,0,0,1,0
"83","Maleficent",1,0,0,0,0,1,0,1,0,1,0
"84","Dawn of the Planet of the Apes",1,0,0,0,1,0,0,0,0,1,1
"85","The Lovers",1,0,0,0,0,0,0,1,0,1,1
"86","47 Ronin",1,0,0,0,1,0,0,0,0,1,0
"87","Captain America: The Winter Soldier",1,0,0,0,0,0,0,0,0,1,1
"88","Shrek Forever After",0,1,0,1,0,1,0,0,0,1,0
"89","Tomorrowland",1,0,1,0,0,1,0,0,0,1,1
"90","Big Hero 6",1,1,0,1,1,1,0,0,0,1,1
"91","Wreck-It Ralph",0,1,0,1,0,1,0,0,0,1,1
"92","The Polar Express",0,1,0,0,0,1,0,0,0,1,0
"93","Independence Day: Resurgence",1,0,0,0,0,0,0,0,0,1,1
"94","How to Train Your Dragon",0,1,0,0,0,1,0,0,0,1,0
"95","Terminator 3: Rise of the Machines",1,0,0,0,0,0,0,0,0,0,1
"96","Guardians of the Galaxy",1,0,0,0,0,0,0,0,0,1,1
"97","Interstellar",0,0,0,0,1,0,0,0,0,1,1
"98","Inception",1,0,0,0,0,0,0,0,1,1,1
"99","Godzilla Resurgence",1,0,0,0,1,0,1,0,0,1,1
"100","The Hobbit: An Unexpected Journey",0,0,0,0,0,0,0,0,0,1,0
"101","The Fast and the Furious",1,0,0,0,0,0,0,0,1,0,0
"102","The Curious Case of Benjamin Button",0,0,0,0,1,0,0,1,0,0,0
"103","X-Men: First Class",1,0,0,0,0,0,0,0,0,1,1
"104","The Hunger Games: Mockingjay - Part 2",0,0,0,0,0,0,0,0,0,1,1
"105","The Sorcerer's Apprentice",1,0,0,0,0,1,0,0,0,1,0
"106","Poseidon",1,0,0,0,1,0,0,0,1,1,0
"107","Alice Through the Looking Glass",0,0,0,0,0,1,0,0,0,1,0
"108","Shrek the Third",0,1,0,1,0,1,0,0,0,1,0
"109","Warcraft",1,0,0,0,0,0,0,0,0,1,0
"110","Terminator Genisys",1,0,0,0,0,0,0,0,0,1,1
"111","The Chronicles of Narnia: The Voyage of the Dawn Treader",0,0,0,0,0,1,0,0,0,1,0
"112","Pearl Harbor",1,0,0,0,1,0,0,1,0,0,0
"113","Transformers",1,0,0,0,0,0,0,0,0,1,1
"114","Alexander",1,0,0,0,1,0,0,1,0,1,0
"115","Harry Potter and the Order of the Phoenix",0,0,1,0,0,1,0,0,0,1,0
"116","Harry Potter and the Goblet of Fire",0,0,1,0,0,1,0,0,0,1,0
"117","Hancock",1,0,0,0,1,0,0,0,0,0,0
"118","I Am Legend",0,0,0,0,1,0,1,0,0,0,1
"119","Charlie and the Chocolate Factory",0,0,0,1,0,1,0,0,0,1,0
"120","Ratatouille",0,1,0,1,0,1,0,0,0,0,0
"121","Batman Begins",1,0,0,0,0,0,0,0,0,1,0
"122","Madagascar: Escape 2 Africa",1,1,0,1,0,1,0,0,0,1,0
"123","Night at the Museum: Battle of the Smithsonian",0,0,0,1,0,1,0,0,0,1,0
"124","X-Men Origins: Wolverine",1,0,0,0,0,0,0,0,1,1,1
"125","The Matrix Revolutions",1,0,0,0,0,0,0,0,0,0,1
"126","Frozen",0,1,0,1,0,1,0,0,0,1,0
"127","The Matrix Reloaded",1,0,0,0,0,0,0,0,0,0,1
"128","Thor: The Dark World",1,0,0,0,0,0,0,0,0,1,0
"129","Mad Max: Fury Road",1,0,0,0,0,0,0,0,1,1,1
"130","Angels & Demons",0,0,1,0,0,0,0,0,1,0,0
"131","Thor",1,0,0,0,0,0,0,0,0,1,0
"132","Bolt",0,1,0,1,1,1,0,0,0,1,0
"133","G-Force",1,1,0,1,0,1,0,0,0,1,1
"134","Wrath of the Titans",1,0,0,0,0,0,0,0,0,1,0
"135","Dark Shadows",0,0,0,1,0,0,1,0,0,0,0
"136","Mission: Impossible - Rogue Nation",1,0,0,0,0,0,0,0,1,1,0
"137","The Wolfman",0,0,0,0,1,0,1,0,1,0,0
"138","The Legend of Tarzan",1,0,0,0,1,0,0,1,0,1,0
"139","Bee Movie",0,1,0,1,0,1,0,0,0,1,0
"140","Kung Fu Panda 2",1,1,0,1,0,1,0,0,0,1,0
"141","The Last Airbender",1,0,0,0,0,1,0,0,0,1,0
"142","Mission: Impossible III",1,0,0,0,0,0,0,0,1,1,0
"143","White House Down",1,0,0,0,1,0,0,0,1,0,0
"144","Mars Needs Moms",1,1,0,1,0,1,0,0,0,1,1
"145","Flushed Away",0,1,0,1,0,1,0,0,0,1,0
"146","Pan",0,0,0,0,0,1,0,0,0,1,0
"147","Mr. Peabody & Sherman",0,1,0,1,0,1,0,0,0,1,1
"148","Troy",0,0,0,0,0,0,0,0,0,1,0
"149","Madagascar 3: Europe's Most Wanted",0,1,0,1,0,1,0,0,0,1,0
"150","Die Another Day",1,0,0,0,0,0,0,0,1,1,0
"151","Ghostbusters",1,0,0,1,0,0,0,0,0,0,1
"152","Armageddon",1,0,0,0,0,0,0,0,1,1,1
"153","Men in Black II",1,0,1,1,0,1,0,0,0,1,1
"154","Beowulf",1,1,0,0,0,0,0,0,0,1,0
"155","Kung Fu Panda 3",1,1,0,1,0,1,0,0,0,1,0
"156","Mission: Impossible - Ghost Protocol",1,0,0,0,0,0,0,0,1,1,0
"157","Rise of the Guardians",0,1,0,0,0,1,0,0,0,1,0
"158","Fun with Dick and Jane",0,0,0,1,0,0,0,0,0,0,0
"159","The Last Samurai",1,0,0,0,1,0,0,0,0,0,0
"160","Exodus: Gods and Kings",1,0,0,0,1,0,0,0,0,1,0
"161","Star Trek",1,0,0,0,0,0,0,0,0,1,1
"162","Spider-Man",1,0,0,0,0,0,0,1,0,1,0
